condition,eval_domain,subset,contrast,n_tasks,estimate,ci_low,ci_high,replicates,population_key,replicate_array,units
explicit_bare_versus_primary_same_tasks,k0_8,partial,immediate_raw_sensitivity_minus_primary_accuracy,23,0.03864734299516908,-0.03381642512077293,0.10144927536231885,5000,p_4ef38ea9f428,explicit_bare_versus_primary_partial,proportion
explicit_bare_versus_primary_same_tasks,k0_8,partial,immediate_learned_sensitivity_minus_primary_accuracy,23,0.10628019323671499,0.06280193236714977,0.15942028985507245,5000,p_4ef38ea9f428,explicit_bare_versus_primary_partial,proportion
explicit_bare_versus_primary_same_tasks,k0_8,partial,immediate_oracle_sensitivity_minus_primary_accuracy,23,0.03864734299516908,-0.014492753623188392,0.08695652173913046,5000,p_4ef38ea9f428,explicit_bare_versus_primary_partial,proportion
explicit_bare_versus_primary_same_tasks,k0_8,partial,rts_raw_sensitivity_minus_primary_accuracy,23,-0.07729468599033815,-0.1642512077294686,0.0,5000,p_4ef38ea9f428,explicit_bare_versus_primary_partial,proportion
explicit_bare_versus_primary_same_tasks,k0_8,partial,rts_learned_sensitivity_minus_primary_accuracy,23,-0.12560386473429952,-0.2222222222222222,-0.03864734299516908,5000,p_4ef38ea9f428,explicit_bare_versus_primary_partial,proportion
explicit_bare_versus_primary_same_tasks,k0_8,partial,rts_oracle_sensitivity_minus_primary_accuracy,23,0.004830917874396138,-0.03381642512077295,0.043478260869565216,5000,p_4ef38ea9f428,explicit_bare_versus_primary_partial,proportion
original_bare,k0_8,all,immediate_learned_minus_raw_accuracy,79,-0.009845288326300983,-0.02390998593530239,0.0,5000,p_ae2b966a2399,original_bare_k0_8_all,proportion
original_bare,k0_8,all,immediate_learned_minus_raw_sequence_correct,79,0.0,0.0,0.0,5000,p_ae2b966a2399,original_bare_k0_8_all,proportion
original_bare,k0_8,all,immediate_raw_minus_learned_errors,79,-0.08860759493670886,-0.21518987341772153,0.0,5000,p_ae2b966a2399,original_bare_k0_8_all,errors_per_task
original_bare,k0_8,all,immediate_learned_minus_oracle_errors,79,1.9873417721518987,1.3924050632911393,2.632911392405063,5000,p_ae2b966a2399,original_bare_k0_8_all,errors_per_task
original_bare,k0_8,all,rts_learned_minus_raw_accuracy,79,0.008438818565400845,-0.0070323488045007,0.025316455696202524,5000,p_ae2b966a2399,original_bare_k0_8_all,proportion
original_bare,k0_8,all,rts_learned_minus_raw_sequence_correct,79,0.02531645569620253,0.0,0.06329113924050633,5000,p_ae2b966a2399,original_bare_k0_8_all,proportion
original_bare,k0_8,all,rts_raw_minus_learned_errors,79,0.0759493670886076,-0.06329113924050633,0.22784810126582278,5000,p_ae2b966a2399,original_bare_k0_8_all,errors_per_task
original_bare,k0_8,all,rts_learned_minus_oracle_errors,79,1.3037974683544304,0.8354430379746836,1.8354430379746836,5000,p_ae2b966a2399,original_bare_k0_8_all,errors_per_task
original_bare,k0_8,all,rts_minus_immediate_learned_accuracy,79,0.06751054852320677,0.014064697609001418,0.12236286919831221,5000,p_ae2b966a2399,original_bare_k0_8_all,proportion
