population,variant,representation,k_start,metric,unit,planned_tasks,common_complete_tasks,missing_paired_tasks,coverage,delta_A_minus_I,ci_low,ci_high,missing_bound_low,missing_bound_high,bootstrap_unit,bootstrap_replicates,bootstrap_seed,I_paired_estimate,I_paired_numerator,I_paired_denominator,I_available_estimate,I_available_numerator,I_available_denominator,I_complete_tasks,I_missing_tasks,A_paired_estimate,A_paired_numerator,A_paired_denominator,A_available_estimate,A_available_numerator,A_available_denominator,A_complete_tasks,A_missing_tasks
nontrivial,original,bare,1,fsrr,proportion,3,3,0,1.0,-0.3333333333333333,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,task,5000,20260912,0.3333333333333333,1,3,0.3333333333333333,1,3,3,0,0.0,0,3,0.0,0,3,3,0
nontrivial,original,bare,1,trr,proportion,3,3,0,1.0,-0.3333333333333333,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,task,5000,20260912,0.3333333333333333,1,3,0.3333333333333333,1,3,3,0,0.0,0,3,0.0,0,3,3,0
nontrivial,original,bare,1,direct_sequence_correct,proportion,7,7,0,1.0,0.0,0.0,0.0,0.0,0.0,task,5000,20260912,0.42857142857142855,3,7,0.42857142857142855,3,7,7,0,0.42857142857142855,3,7,0.42857142857142855,3,7,7,0
nontrivial,original,bare,1,tce,task mean threshold distance,7,7,0,1.0,-0.5714285714285714,-1.7142857142857142,0.0,-0.5714285714285714,-0.5714285714285714,task,5000,20260912,3.4285714285714284,24,7,3.4285714285714284,24,7,7,0,2.857142857142857,20,7,2.857142857142857,20,7,7,0
nontrivial,original,bare,1,oracle_min_errors,task mean verdict errors,7,7,0,1.0,0.14285714285714285,-0.2857142857142857,0.5714285714285714,0.14285714285714285,0.14285714285714285,task,5000,20260912,0.5714285714285714,4,7,0.5714285714285714,4,7,7,0,0.7142857142857143,5,7,0.7142857142857143,5,7,7,0
nontrivial,original,bare,1,oracle_fsrr_all,proportion,7,7,0,1.0,-0.14285714285714285,-0.42857142857142855,0.0,-0.14285714285714285,-0.14285714285714285,task,5000,20260912,0.7142857142857143,5,7,0.7142857142857143,5,7,7,0,0.5714285714285714,4,7,0.5714285714285714,4,7,7,0
nontrivial,original,bare,1,oracle_trr_all,proportion,7,7,0,1.0,-0.14285714285714285,-0.42857142857142855,0.0,-0.14285714285714285,-0.14285714285714285,task,5000,20260912,0.7142857142857143,5,7,0.7142857142857143,5,7,7,0,0.5714285714285714,4,7,0.5714285714285714,4,7,7,0
nontrivial,original,whitespace_union,0,accuracy,proportion,7,7,0,1.0,0.12698412698412698,0.015873015873015872,0.2857142857142857,0.12698412698412698,0.12698412698412698,task,5000,20260912,0.5238095238095238,33,63,0.5238095238095238,33,63,7,0,0.6507936507936508,41,63,0.6507936507936508,41,63,7,0
nontrivial,original,whitespace_union,0,fsrr,proportion,7,7,0,1.0,-0.14285714285714285,-0.42857142857142855,0.0,-0.14285714285714285,-0.14285714285714285,task,5000,20260912,0.5714285714285714,4,7,0.5714285714285714,4,7,7,0,0.42857142857142855,3,7,0.42857142857142855,3,7,7,0
nontrivial,original,whitespace_union,0,trr,proportion,7,7,0,1.0,-0.14285714285714285,-0.42857142857142855,0.0,-0.14285714285714285,-0.14285714285714285,task,5000,20260912,0.5714285714285714,4,7,0.5714285714285714,4,7,7,0,0.42857142857142855,3,7,0.42857142857142855,3,7,7,0
nontrivial,original,whitespace_union,0,direct_sequence_correct,proportion,7,7,0,1.0,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,task,5000,20260912,0.0,0,7,0.0,0,7,7,0,0.14285714285714285,1,7,0.14285714285714285,1,7,7,0
nontrivial,original,whitespace_union,0,tce,task mean threshold distance,7,7,0,1.0,-0.8571428571428571,-2.2857142857142856,0.0,-0.8571428571428571,-0.8571428571428571,task,5000,20260912,4.285714285714286,30,7,4.285714285714286,30,7,7,0,3.4285714285714284,24,7,3.4285714285714284,24,7,7,0
nontrivial,original,whitespace_union,0,oracle_min_errors,task mean verdict errors,7,7,0,1.0,0.14285714285714285,-0.2857142857142857,0.5714285714285714,0.14285714285714285,0.14285714285714285,task,5000,20260912,0.8571428571428571,6,7,0.8571428571428571,6,7,7,0,1.0,7,7,1.0,7,7,7,0
nontrivial,original,whitespace_union,0,oracle_fsrr_all,proportion,7,7,0,1.0,-0.14285714285714285,-0.42857142857142855,0.0,-0.14285714285714285,-0.14285714285714285,task,5000,20260912,0.5714285714285714,4,7,0.5714285714285714,4,7,7,0,0.42857142857142855,3,7,0.42857142857142855,3,7,7,0
nontrivial,original,whitespace_union,0,oracle_trr_all,proportion,7,7,0,1.0,-0.14285714285714285,-0.42857142857142855,0.0,-0.14285714285714285,-0.14285714285714285,task,5000,20260912,0.5714285714285714,4,7,0.5714285714285714,4,7,7,0,0.42857142857142855,3,7,0.42857142857142855,3,7,7,0
