contrast,subset,metric,n_paired,delta_right_minus_left,lo95,hi95,seed,replicates,method
LS minus S3 / mistralai/Mistral-7B-Instruct-v0.3,nontrivial,TRR,288,-0.013888888888888888,-0.041666666666666664,0.013888888888888888,20260911,5000,post-hoc paired task-cluster percentile
LS minus S3 / mistralai/Mistral-7B-Instruct-v0.3,nontrivial,FSRR,288,0.024305555555555556,-0.003472222222222222,0.052083333333333336,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,all,accuracy,80,0.020833333333333343,-0.031944444444444428,0.070833333333333345,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,all,TCE,80,-0.050000000000000003,-0.67500000000000004,0.58750000000000002,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,all,TRR,80,0.40000000000000002,0.28749999999999998,0.51249999999999996,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,all,FSRR,80,0.36249999999999999,0.25,0.47499999999999998,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,nontrivial,accuracy,54,0.090534979423868331,0.055555555555555573,0.1234567901234568,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,nontrivial,TCE,54,-0.83333333333333337,-1.3523148148148147,-0.27777777777777779,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,nontrivial,TRR,54,0.59259259259259256,0.44444444444444442,0.72222222222222221,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,nontrivial,FSRR,54,0.53703703703703709,0.3888888888888889,0.68518518518518523,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,partial,accuracy,23,0.082125603864734317,0.0048309178743961567,0.15458937198067635,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,partial,TCE,23,-1.1304347826086956,-2.2608695652173911,-0.086956521739130432,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,partial,TRR,23,0.34782608695652173,0.13043478260869565,0.56521739130434778,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / bare,partial,FSRR,23,0.21739130434782608,-0.043478260869565216,0.43478260869565216,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,all,accuracy,80,0.019444444444444452,-0.03472222222222221,0.072222222222222229,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,all,TCE,80,-0.037499999999999999,-0.66249999999999998,0.59999999999999998,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,all,TRR,80,0.38750000000000001,0.27500000000000002,0.5,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,all,FSRR,80,0.34999999999999998,0.23749999999999999,0.46250000000000002,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,nontrivial,accuracy,54,0.088477366255144047,0.047325102880658457,0.12551440329218105,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,nontrivial,TCE,54,-0.81481481481481477,-1.3518518518518519,-0.25925925925925924,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,nontrivial,TRR,54,0.57407407407407407,0.42592592592592593,0.70370370370370372,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,nontrivial,FSRR,54,0.51851851851851849,0.37037037037037035,0.66666666666666663,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,partial,accuracy,23,0.077294685990338161,-0.0096618357487922683,0.15458937198067635,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,partial,TCE,23,-1.0869565217391304,-2.2173913043478262,-0.043478260869565216,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,partial,TRR,23,0.34782608695652173,0.13043478260869565,0.56521739130434778,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen2.5-14B-Instruct / whitespace_union,partial,FSRR,23,0.21739130434782608,-0.043478260869565216,0.43478260869565216,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,all,accuracy,62,-0.0035842293906810062,-0.010752688172043015,0.0035842293906810023,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,all,TCE,62,0.048387096774193547,-0.096774193548387094,0.24193548387096775,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,all,TRR,62,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,all,FSRR,62,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,nontrivial,accuracy,40,-0.0055555555555555592,-0.016666666666666673,0.0055555555555555523,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,nontrivial,TCE,40,0.074999999999999997,-0.14999999999999999,0.375,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,nontrivial,TRR,40,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,nontrivial,FSRR,40,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,partial,accuracy,17,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,partial,TCE,17,0.29411764705882354,0,0.88235294117647056,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,partial,TRR,17,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / bare,partial,FSRR,17,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,all,accuracy,62,-0.0035842293906810062,-0.010752688172043015,0.0035842293906810023,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,all,TCE,62,0.048387096774193547,-0.096774193548387094,0.24193548387096775,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,all,TRR,62,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,all,FSRR,62,0,0,0,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,nontrivial,accuracy,40,-0.0055555555555555592,-0.016666666666666673,0.0055555555555555523,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / Qwen/Qwen3-30B-A3B-Thinking-2507 / whitespace_union,nontrivial,TCE,40,0.074999999999999997,-0.14999999999999999,0.375,20260911,5000,post-hoc paired task-cluster percentile
